,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
168,ribeira grande,40,1553272200,82,38.52,-28.7,290.15,4.1,PT
169,campo maior,0,1553274874,21,39.01,-7.07,294.15,5.1,ES
170,butterworth,90,1553274000,94,5.4,100.37,302.04,7.2,MY
171,waiuku,90,1553275137,100,-37.25,174.73,289.82,1,NZ
172,mahebourg,40,1553274841,78,-20.41,57.7,301.15,5.7,MU
173,herat,0,1553273700,71,34.35,62.22,284.15,1.5,AF
174,ilulissat,40,1553273400,39,69.22,-51.1,251.15,2.6,GL
175,timizart,88,1553274957,69,36.8,4.25,286.48,1.34,DZ
177,bambous virieux,40,1553275141,78,-20.34,57.76,301.15,5.7,MU
178,talakan,36,1553275159,65,50.29,130.28,260.963,2.31,RU
179,mahajanga,40,1553274000,83,-15.72,46.32,301.15,2.1,MG
180,toktogul,80,1553275154,89,41.87,72.95,274.82,0.91,KG
181,capela do alto,56,1553274893,50,-23.47,-47.74,300.93,2.24,BR
182,puerto leguizamo,92,1553275165,87,-0.19,-74.78,299.363,1.41,CO
183,sampit,56,1553275167,95,-2.54,112.95,295.813,1.51,ID
184,cherskiy,0,1553275168,31,68.75,161.3,243.413,1.96,RU
185,kununurra,0,1553274000,61,-15.77,128.74,301.15,2.1,AU
186,parrita,0,1553274969,47,9.52,-84.33,301.15,9.3,CR
187,nouakchott,20,1553272200,73,18.08,-15.98,294.15,6.2,MR
188,gladstone,24,1553274596,83,-23.84,151.26,297.15,2.1,AU
189,kuusamo,0,1553273400,73,65.96,29.19,269.15,2.6,FI
191,vao,0,1553275143,73,59.1,26.19,272.413,3.71,EE
193,bud,75,1553275014,57,62.91,6.91,284.15,5.7,NO
194,isabela,0,1553275182,86,10.2,122.99,296.863,2.06,PH
195,luderitz,0,1553274917,78,-26.65,15.16,290.413,4.16,NA
196,tuktoyaktuk,75,1553271600,77,69.44,-133.03,254.15,4.6,CA
197,colac,88,1553275028,73,-38.34,143.59,294.26,0.89,AU
198,kastamonu,0,1553275170,65,41.38,33.78,272.263,1.11,TR
199,madang,92,1553275189,100,-5.21,145.81,295.713,1.71,PG
200,kardla,0,1553275095,41,58.44,26.57,277.15,4.6,EE
201,saint george,20,1553273400,62,39.45,22.34,290.15,2.6,GR
202,manali,0,1553275194,50,32.25,77.19,246.863,0.51,IN
203,khani,75,1553274000,100,41.96,42.96,280.15,3.6,GE
204,kahului,40,1553275023,73,20.89,-156.47,295.37,6.7,US
205,strezhevoy,90,1553274000,65,60.73,77.6,273.15,2,RU
207,paducah,1,1553275000,38,37.08,-88.6,289.26,5.1,US
208,broome,75,1553275177,76,52.47,1.45,284.82,6.7,GB
209,yar-sale,36,1553275204,82,66.83,70.83,263.663,1.51,RU
210,dingle,0,1553275205,89,11,122.67,297.063,5.06,PH
211,carutapera,92,1553275207,85,-1.2,-46.02,300.913,3.86,BR
212,souillac,0,1553275111,35,45.6,-0.6,293.15,1.5,FR
214,perigueux,0,1553275171,34,45.18,0.72,293.15,2.1,FR
217,eyrarbakki,90,1553275003,100,63.86,-21.15,274.82,14.9,IS
218,north myrtle beach,1,1553275211,38,33.83,-78.68,290.93,5.7,US
